driver_id,round,position,grid_position,points,status,laps_completed
lawson,3,17.0,13.0,0.0,Finished,53.0
ocon,3,18.0,18.0,0.0,Finished,53.0
bortoleto,3,19.0,17.0,0.0,Finished,53.0
stroll,3,20.0,20.0,0.0,Lapped,52.0
piastri,4,1.0,1.0,25.0,Finished,57.0
russell,4,2.0,3.0,18.0,Finished,57.0
norris,4,3.0,6.0,15.0,Finished,57.0
leclerc,4,4.0,2.0,12.0,Finished,57.0
hamilton,4,5.0,9.0,10.0,Finished,57.0
max_verstappen,4,6.0,7.0,8.0,Finished,57.0
gasly,4,7.0,4.0,6.0,Finished,57.0
ocon,4,8.0,14.0,4.0,Finished,57.0
tsunoda,4,9.0,10.0,2.0,Finished,57.0
bearman,4,10.0,20.0,1.0,Finished,57.0
antonelli,4,11.0,5.0,0.0,Finished,57.0
albon,4,12.0,15.0,0.0,Finished,57.0
hadjar,4,13.0,12.0,0.0,Finished,57.0
doohan,4,14.0,11.0,0.0,Finished,57.0
alonso,4,15.0,13.0,0.0,Finished,57.0
lawson,4,16.0,17.0,0.0,Finished,57.0
stroll,4,17.0,19.0,0.0,Finished,57.0
bortoleto,4,18.0,18.0,0.0,Finished,57.0
sainz,4,19.0,8.0,0.0,Retired,45.0
hulkenberg,4,20.0,16.0,0.0,Disqualified,0.0
piastri,5,1.0,2.0,25.0,Finished,50.0
max_verstappen,5,2.0,1.0,18.0,Finished,50.0
leclerc,5,3.0,4.0,15.0,Finished,50.0
norris,5,4.0,10.0,12.0,Finished,50.0
russell,5,5.0,3.0,10.0,Finished,50.0
antonelli,5,6.0,5.0,8.0,Finished,50.0
hamilton,5,7.0,7.0,6.0,Finished,50.0
sainz,5,8.0,6.0,4.0,Finished,50.0
albon,5,9.0,11.0,2.0,Finished,50.0
hadjar,5,10.0,14.0,1.0,Finished,50.0
alonso,5,11.0,13.0,0.0,Finished,50.0
lawson,5,12.0,12.0,0.0,Finished,50.0
bearman,5,13.0,15.0,0.0,Finished,50.0
ocon,5,14.0,19.0,0.0,Finished,50.0
hulkenberg,5,15.0,18.0,0.0,Lapped,49.0
stroll,5,16.0,16.0,0.0,Lapped,49.0
doohan,5,17.0,17.0,0.0,Lapped,49.0
bortoleto,5,18.0,20.0,0.0,Lapped,49.0
tsunoda,5,19.0,8.0,0.0,Retired,1.0
gasly,5,20.0,9.0,0.0,Retired,0.0
piastri,6,1.0,4.0,25.0,Finished,57.0
norris,6,2.0,2.0,18.0,Finished,57.0
russell,6,3.0,5.0,15.0,Finished,57.0
max_verstappen,6,4.0,1.0,12.0,Finished,57.0
albon,6,5.0,7.0,10.0,Finished,57.0
antonelli,6,6.0,3.0,8.0,Finished,57.0
leclerc,6,7.0,8.0,6.0,Finished,57.0
hamilton,6,8.0,12.0,4.0,Finished,57.0
sainz,6,9.0,6.0,2.0,Finished,57.0
tsunoda,6,10.0,10.0,1.0,Finished,57.0
hadjar,6,11.0,11.0,0.0,Finished,57.0
ocon,6,12.0,9.0,0.0,Finished,57.0
gasly,6,13.0,20.0,0.0,Finished,57.0
hulkenberg,6,14.0,16.0,0.0,Lapped,56.0
alonso,6,15.0,17.0,0.0,Lapped,56.0
stroll,6,16.0,18.0,0.0,Lapped,56.0
lawson,6,17.0,15.0,0.0,Retired,36.0
bortoleto,6,18.0,13.0,0.0,Retired,30.0
bearman,6,19.0,19.0,0.0,Retired,27.0
doohan,6,20.0,14.0,0.0,Retired,0.0
max_verstappen,7,1.0,2.0,25.0,Finished,63.0
norris,7,2.0,4.0,18.0,Finished,63.0
piastri,7,3.0,1.0,15.0,Finished,63.0
hamilton,7,4.0,12.0,12.0,Finished,63.0
albon,7,5.0,7.0,10.0,Finished,63.0
leclerc,7,6.0,11.0,8.0,Finished,63.0
russell,7,7.0,3.0,6.0,Finished,63.0
sainz,7,8.0,6.0,4.0,Finished,63.0
hadjar,7,9.0,9.0,2.0,Finished,63.0
tsunoda,7,10.0,20.0,1.0,Finished,63.0
alonso,7,11.0,5.0,0.0,Finished,63.0
hulkenberg,7,12.0,17.0,0.0,Finished,63.0
gasly,7,13.0,10.0,0.0,Finished,63.0
lawson,7,14.0,15.0,0.0,Finished,63.0
stroll,7,15.0,8.0,0.0,Finished,63.0
colapinto,7,16.0,16.0,0.0,Finished,63.0
bearman,7,17.0,19.0,0.0,Finished,63.0
bortoleto,7,18.0,14.0,0.0,Finished,63.0
antonelli,7,19.0,13.0,0.0,Retired,44.0
ocon,7,20.0,18.0,0.0,Retired,27.0
norris,8,1.0,1.0,25.0,Finished,78.0
leclerc,8,2.0,2.0,18.0,Finished,78.0
piastri,8,3.0,3.0,15.0,Finished,78.0
max_verstappen,8,4.0,4.0,12.0,Finished,78.0
hamilton,8,5.0,7.0,10.0,Finished,78.0
hadjar,8,6.0,5.0,8.0,Lapped,77.0
ocon,8,7.0,8.0,6.0,Lapped,77.0
lawson,8,8.0,9.0,4.0,Lapped,77.0
albon,8,9.0,10.0,2.0,Lapped,76.0
sainz,8,10.0,11.0,1.0,Lapped,76.0
russell,8,11.0,14.0,0.0,Lapped,76.0
bearman,8,12.0,20.0,0.0,Lapped,76.0
colapinto,8,13.0,18.0,0.0,Lapped,76.0
bortoleto,8,14.0,16.0,0.0,Lapped,76.0
stroll,8,15.0,19.0,0.0,Lapped,76.0
hulkenberg,8,16.0,13.0,0.0,Lapped,76.0
tsunoda,8,17.0,12.0,0.0,Lapped,76.0
antonelli,8,18.0,15.0,0.0,Lapped,75.0
alonso,8,19.0,6.0,0.0,Retired,36.0
gasly,8,20.0,17.0,0.0,Retired,7.0
piastri,9,1.0,1.0,25.0,Finished,66.0
norris,9,2.0,2.0,18.0,Finished,66.0
leclerc,9,3.0,7.0,15.0,Finished,66.0
russell,9,4.0,4.0,12.0,Finished,66.0
hulkenberg,9,5.0,15.0,10.0,Finished,66.0
hamilton,9,6.0,5.0,8.0,Finished,66.0
hadjar,9,7.0,9.0,6.0,Finished,66.0
gasly,9,8.0,8.0,4.0,Finished,66.0
alonso,9,9.0,10.0,2.0,Finished,66.0
max_verstappen,9,10.0,3.0,1.0,Finished,66.0
lawson,9,11.0,13.0,0.0,Finished,66.0
bortoleto,9,12.0,12.0,0.0,Finished,66.0
tsunoda,9,13.0,19.0,0.0,Finished,66.0
sainz,9,14.0,17.0,0.0,Finished,66.0
colapinto,9,15.0,18.0,0.0,Finished,66.0
ocon,9,16.0,16.0,0.0,Finished,66.0
bearman,9,17.0,14.0,0.0,Finished,66.0
antonelli,9,18.0,6.0,0.0,Retired,53.0
